postcode,Lat_precise,Long_precise
880,-12.5032,135.806
880,-12.1825,136.781944
880,-12.2256,136.702
880,-12.1825,136.781944
880,-12.2528,136.892
881,-12.1825,136.781944
885,-13.8529,136.422
886,-12.6688351,132.8345405
906,-12.428889,130.869722
907,-12.428889,130.869722
909,-12.3718,130.869
909,-12.3718,130.869
1001,-33.8688197,151.2092955
1002,-33.8688197,151.2092955
1003,-33.8688197,151.2092955
1004,-33.8688197,151.2092955
1005,-33.8688197,151.2092955
1006,-33.8688197,151.2092955
1007,-33.8688197,151.2092955
1008,-33.8688197,151.2092955
1009,-33.8688197,151.2092955
1010,-33.8688197,151.2092955
1020,-33.8688197,151.2092955
1021,-33.8688197,151.2092955
1022,-33.8688197,151.2092955
1023,-33.8688197,151.2092955
1025,-33.8688197,151.2092955
1026,-33.8688197,151.2092955
1027,-33.8688197,151.2092955
1028,-33.8688197,151.2092955
1029,-33.8688197,151.2092955
1030,-33.8688197,151.2092955
1031,-33.8688197,151.2092955
1032,-33.8688197,151.2092955
1033,-33.8688197,151.2092955
1034,-33.8688197,151.2092955
1035,-33.8688197,151.2092955
1036,-33.8688197,151.2092955
1037,-33.8688197,151.2092955
1038,-33.8688197,151.2092955
1039,-33.8688197,151.2092955
1040,-33.8688197,151.2092955
1041,-33.8688197,151.2092955
1042,-33.8688197,151.2092955
1043,-33.8688197,151.2092955
1044,-33.8688197,151.2092955
1045,-33.8688197,151.2092955
1046,-33.8688197,151.2092955
1100,-33.8688197,151.2092955
1101,-33.8688197,151.2092955
1105,-33.8688197,151.2092955
1106,-33.8688197,151.2092955
1107,-33.8688197,151.2092955
1108,-33.8688197,151.2092955
1109,-33.8688197,151.2092955
1110,-33.8688197,151.2092955
1112,-33.8688197,151.2092955
1113,-33.8688197,151.2092955
1114,-33.8688197,151.2092955
1115,-33.8688197,151.2092955
